index,desc,Seri,RAM Kapasitesi,Dahili Hafıza,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Yenileme Hızı,Ekran Teknolojisi,Ekran Parlaklık Değeri,Çıkış Yılı,Piksel Yoğunluğu,Ekran Gövde Oranı,Ekran Dayanıklılığı,NR - Display,NR - Performance,NR - Battery,NR - Camera,Arka Kamera Sayısı,Arka Kamera,İkinci Arka Kamera,Üçüncü Arka Kamera,Dördüncü Arka Kamera,Video Kayıt Çözünürlüğü,Video FPS Değeri,Ön Kamera,Ön Kamera Video Çözünürlüğü,Ön Kamera Video FPS Değeri,İşletim Sistemi,İşlemci (CPU),İşlemci Hızı,Çekirdek Sayısı,Grafik İşlemcisi (GPU),Chipset,Ağırlık,Boyut, Fiyat ,Fiyat_int,RAM_Kapasitesi_int,Hafiza_Kapasitesi_GB,Agirlik_int,image_url,marka
0,Samsung Galaxy S25 Ultra 512 GB,Samsung Galaxy,12 GB,512 GB,5000 mAh,6.9 inç,1440x3120 px,120 Hz,Dynamic AMOLED 2X,2600 nits,2025,498 PPI,92.5%,Corning Gorilla Armor 2,95,99,97,90,4 Kameralı,200 MP,50 MP,50 MP,12 MP,8K Ultra HD,30 fps,12 MP,4K Ultra HD,30 fps,Android,Oryon V2 Phoenix L,4.47 GHz,8,Adreno,Snapdragon 8 Elite,218 gr,162.8x77.6x8.2 mm," 73.399,00 TL ",73399,12.0,512,218.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s25-ultra-512-gb.jpg,Samsung
1,Samsung Galaxy S25 Ultra 256 GB,Samsung Galaxy,12 GB,256 GB,5000 mAh,6.90 inç,QHD+ 1440x3120 Piksel,120 Hz,Dynamic AMOLED,2600 nits,2025,498 PPI,92.5%,Corning Gorilla Armor 2,95,99,97,90,4 Kameralı,200 MP,50 MP,50 MP,12 MP,4320p Ultra HD 8K,30 fps,12 MP,4K Ultra HD,30 fps,Android,Oryon V2 Phoenix L,4.47 GHz,8,Adreno 830,Snapdragon 8 Elite,218 gram,162.8x77.6x8.2 mm," 71.624,05 TL ",71624,12.0,256,218.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s25-ultra.jpg,Samsung
2,Samsung Galaxy S25 256 GB,Samsung Galaxy,12 GB,256 GB,4000 mAh,6.2 inç,1080x2340 px,120 Hz,Dynamic AMOLED 2X,2600 nits,2025,416 PPI,91.1%,Corning Gorilla Glass Victus 2,90,96,74,83,3 Kameralı,50 MP,10 MP,12 MP,x,8K Ultra HD,30 fps,12 MP,4K Ultra HD,60 fps,Android,Oryon V2 Phoenix L,4.47 GHz,8,Adreno,Snapdragon 8 Elite,162 gr,146.9x70.5x7.2 mm," 46.639,00 TL ",46639,12.0,256,162.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s25-plus-256-gb.jpg,Samsung
3,Samsung Galaxy S24 Ultra 1 TB,Samsung Galaxy,12 GB,1 TB,5000 mAh,6.8 inç,1440x3088 px,120 Hz,Dynamic AMOLED,2600 nits,2024,500 PPI,89.1%,Corning Gorilla Armor,92,84,86,88,4 Kameralı,200 MP,50 MP,12 MP,10 MP,8K Ultra HD,30 fps,12 MP,4K Ultra HD,60 fps,Android,Cortex X4,3.39 GHz,8,Adreno 750,Snapdragon 8 Gen 3,233 gr,162.3 x 79.0 x 8.6 mm," 75.366,00 TL ",75366,12.0,1024,233.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s24-ultra-1-tb.jpg,Samsung
4,Samsung Galaxy S24 Ultra 512 GB,Samsung Galaxy,12 GB,512 GB,5000 mAh,6.8 inç,1440x3088 px,120 Hz,Dynamic AMOLED,2600 nits,2024,500 PPI,89.1%,Corning Gorilla Armor,92,84,86,88,4 Kameralı,200 MP,50 MP,12 MP,10 MP,4320p (Ultra HD) 8K,30 fps,12 MP,4K Ultra HD,60 fps,Android,Cortex X4,3.39 GHz,8,Adreno 750,Snapdragon 8 Gen 3,233 gr,162.3 x 79.0 x 8.6 mm," 63.764,03 TL ",63764,12.0,512,233.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s24-ultra.jpg,Samsung
5,Samsung Galaxy S24 FE 256 GB,Samsung Galaxy,8 GB,256 GB,4700 mAh,6.7 inç,1080x2340 px,120 Hz,Dynamic AMOLED 2X,1900 nits,2024,385 PPI,-,Corning Gorilla Glass Victus+,88,79,73,80,3 Kameralı,50 MP,12 MP,8 MP,x,8K Ultra HD,24 fps,10 MP,4K Ultra HD,30 fps,Android,Cortex X4,3.1 GHz,10,Samsung Xclipse 940,Exynos 2400e,213 gr,162x77.3x8 mm," 26.249,00 TL ",26249,8.0,256,213.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s24-fe.jpg,Samsung
6,Samsung Galaxy S24 FE 128 GB,Samsung Galaxy,8 GB,128 GB,4700 mAh,6.7 inç,1080x2340 px,120 Hz,Dynamic AMOLED 2X,1900 nits,2024,385 PPI,-,Corning Gorilla Glass Victus+,88,79,73,80,3 Kameralı,50 MP,12 MP,8 MP,x,8K Ultra HD,30 fps,10 MP,4K Ultra HD,30 fps,Android,Cortex X4,3.1 GHz,10,Samsung Xclipse 940,Exynos 2400e,213 gr,162x77.3x8 mm," 24.744,00 TL ",24744,8.0,128,213.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s24-fe-128-gb.jpg,Samsung
7,Samsung Galaxy S23 Ultra 512 GB 12 GB,Samsung Galaxy,12 GB,512 GB,5000 mAh,6.8 inç,1440x3088 px,120 Hz,Dynamic AMOLED,1750 nits,2023,500 PPI,89.4%,Corning Gorilla Glass Victus 2,89,75,85,85,4 Kameralı,200 MP,12 MP,10 MP,10 MP,8K Ultra HD,30 fps,12 MP,4K Ultra HD,60 fps,Android,Cortex X3,3.36 GHz,8,-,Snapdragon 8 Gen 2,233 gr,163.4x78.1x8.9 mm," 47.999,00 TL ",47999,12.0,512,233.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s23-ultra-512-gb.jpg,Samsung
8,Samsung Galaxy S23 Plus 256 GB,Samsung Galaxy,8 GB,256 GB,4700 mAh,6.6 inç,1080x2340 px,120 Hz,Dynamic AMOLED,1750 nits,2023,393 PPI,88.8%,Corning Gorilla Glass Victus 2,83,70,86,80,3 Kameralı,50 MP,12 MP,10 MP,-,8K Ultra HD,30 fps,12 MP,4K Ultra HD,60 fps,Android,Cortex X3,3.36 GHz,8,-,Snapdragon 8 Gen 2,196 gr,157.8x76.2x7.6 mm," 36.750,00 TL ",36750,8.0,256,196.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s23-plus.jpg,Samsung
9,Samsung Galaxy S23 FE 128 GB,Samsung Galaxy,8 GB,128 GB,4500 mAh,6.4 inç,1080x2340 px,120 Hz,Dynamic AMOLED,1450 nits,2023,403 PPI,82.98%,Corning Gorilla Glass 5,83,60,65,76,3 Kameralı,50 MP,12 MP,8 MP,x,8K Ultra HD,24 fps,10 MP,4K Ultra HD,60 fps,Android,Cortex X2,2.8 GHz,8,Samsung Xclipse 920,Exynos 2200,209 gr,158x76.5x8.2 mm," 22.473,00 TL ",22473,8.0,128,209.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s23-fe.jpg,Samsung
10,Samsung Galaxy S23 256 GB,Samsung Galaxy,8 GB,256 GB,3900 mAh,6.1 inç,1080x2340 px,120 Hz,Dynamic AMOLED,1750 nits,2023,425 PPI,87.9%,Corning Gorilla Glass Victus 2,85,69,68,80,3 Kameralı,50 MP,12 MP,10 MP,x,8K Ultra HD,30 fps,12 MP,4K Ultra HD,60 fps,Android,Cortex X3,3.36 GHz,8,-,Snapdragon 8 Gen 2,167 gr,146.3x70.9x7.6 mm," 36.531,00 TL ",36531,8.0,256,167.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-s23-256-gb.jpg,Samsung
11,Samsung Galaxy Z Fold 6 512 GB,Samsung Galaxy,12 GB,512 GB,4400 mAh,6.30 inç,HD+ 968x2376 Piksel,120 Hz,Dynamic AMOLED,2600 nits,2024,407 PPI,85.35%,Corning Gorilla Glass Victus 2,87,84,64,80,3 Kameralı,50 MP,12 MP,10 MP,-,4320p Ultra HD 8K,30 fps,10 MP,4K Ultra HD,60 fps,Android,Cortex X4,3.39 GHz,8,-,Snapdragon 8 Gen 3,239 gr,153.5x132.6x5.6 mm," 71.249,00 TL ",71249,12.0,512,239.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-z-fold-6-512-gb.jpg,Samsung
12,Samsung Galaxy Z Flip 6 256 GB,Samsung Galaxy,12 GB,256 GB,4000 mAh,6.7 inç,1080x2640 px,120 Hz,Dynamic AMOLED 2X,2600 nits,2024,-,-,Corning Gorilla Glass Victus 2,89,82,59,76,2 Kameralı,50 MP,12 MP,-,x,2160p (Ultra HD) 4K,60 fps,10 MP,4K Ultra HD,30 fps,Android,Cortex X4,3.39 GHz,8,-,Snapdragon 8 Gen 3,187 gr,165.1x71.9x6.9 mm," 44.599,00 TL ",44599,12.0,256,187.0,https://cdn.akakce.com/x/samsung/samsung-z-flip-6.jpg,Samsung
13,Samsung Galaxy Z Fold 5 256 GB,Samsung Galaxy,12 GB,256 GB,4400 mAh,6.2 inç,904x2316 px,120 Hz,Dynamic AMOLED,1750 nits,2023,402 PPI,80.58%,Corning Gorilla Glass Victus 2,83,75,72,77,3 Kameralı,50 MP,12 MP,10 MP,-,8K Ultra HD,24 fps,10 MP,4K Ultra HD,60 fps,Android,Cortex X3,-,8,Adreno 740,Snapdragon 8 Gen 2,253 gr,154.9x129.9x6.1mm," 52.390,80 TL ",52390,12.0,256,253.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-z-fold-5-256-gb.jpg,Samsung
14,Samsung Galaxy Z Flip 5 256 GB,Samsung Galaxy,8 GB,256 GB,3700 mAh,6.7 inç,1080x2640 px,120 Hz,Dynamic AMOLED,1200 nits,2023,426 PPI,85.9%,Corning Gorilla Glass Victus 2,85,76,54,73,2 Kameralı,12 MP,12 MP,x,x,4K Ultra HD,60 fps,10 MP,4K Ultra HD,30 fps,Android,Cortex X3,3.2 GHz,8,Adreno 740,Snapdragon 8 Gen 2,187 gr,165.1x71.9x6.9 mm," 35.929,20 TL ",35929,8.0,256,187.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-z-flip-5-256-gb.jpg,Samsung
15,Samsung Galaxy A56 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.7 inç,1080x2340 px,120 Hz,Super AMOLED,1900 nits,2025,385 PPI,87.69%,Corning Gorilla Glass Victus+,90,57,81,71,3 Kameralı,50 MP,12 MP,5 MP,x,4K Ultra HD,30 fps,12 MP,4K Ultra HD,30 fps,Android,Cortex A720,2.9 GHz,8,-,-,198 gr,-," 21.179,00 TL ",21179,8.0,256,198.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a56.jpg,Samsung
16,Samsung Galaxy A56 128 GB,Samsung Galaxy,8 GB,128 GB,5000 mAh,6.7 inç,1080x2340 px,120 Hz,Super AMOLED,1900 nits,2025,385 PPI,87.69%,Corning Gorilla Glass Victus+,90,57,81,71,3 Kameralı,50 MP,12 MP,5 MP,x,4K Ultra HD,30 fps,12 MP,4K Ultra HD,30 fps,Android,Cortex A720,2.9 GHz,8,-,-,198 gr,-," 19.691,00 TL ",19691,8.0,128,198.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a56-128-gb.jpg,Samsung
17,Samsung Galaxy A55 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.6 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2024,390 PPI,85.46%,Corning Gorilla Glass Victus+,85,51,84,63,3 Kameralı,50 MP,12 MP,5 MP,x,4K Ultra HD,30 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.75 GHz,8,Samsung Xclipse 530,Exynos 1480,213 gr,161.3x77x8.7 mm," 18.498,00 TL ",18498,8.0,256,213.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a55-256-gb.jpg,Samsung
18,Samsung Galaxy A55 128 GB,Samsung Galaxy,8 GB,128 GB,5000 mAh,6.6 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2024,390 PPI,85.46%,Corning Gorilla Glass Victus+,85,51,84,63,3 Kameralı,50 MP,12 MP,5 MP,x,4K Ultra HD,30 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.75 GHz,8,Samsung Xclipse 530,Exynos 1480,213 gr,161.3x77x8.7 mm," 16.186,50 TL ",16186,8.0,128,213.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a55.jpg,Samsung
19,Samsung Galaxy A54 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.4 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2023,403 PPI,82.54%,Corning Gorilla Glass 5,82,43,74,61,3 Kameralı,50 MP,12 MP,5 MP,x,4K Ultra HD,30 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68 MP5,Exynos 1380,202 gr,158.2x76.7x8.2 mm," 17.729,02 TL ",17729,8.0,256,202.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a54-256-gb.jpg,Samsung
20,Samsung Galaxy A54 128 GB,Samsung Galaxy,8 GB,128 GB,5000 mAh,6.4 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2023,403 PPI,82.54%,Corning Gorilla Glass 5,82,43,74,61,3 Kameralı,50 MP,12 MP,5 MP,-,4K Ultra HD,30 fps,32 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68 MP5,Exynos 1380,202 gr,158.2x76.7x8.2 mm," 16.200,00 TL ",16200,8.0,128,202.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a54.jpg,Samsung
21,Samsung Galaxy A36 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.7 inç,1080x2340 px,120 Hz,Super AMOLED,1900 nits,2025,385 PPI,86.47%,Corning Gorilla Glass Victus+,90,44,81,69,3 Kameralı,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,12 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Adreno 710,Snapdragon 6 Gen 3,195 gr,-," 17.239,00 TL ",17239,8.0,256,195.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a36.jpg,Samsung
22,Samsung Galaxy A36 128 GB,Samsung Galaxy,8 GB,128 GB,5000 mAh,6.7 inç,1080x2340 px,120 Hz,Super AMOLED,1900 nits,2025,385 PPI,86.47%,Corning Gorilla Glass Victus+,90,44,81,69,3 Kameralı,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,12 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Adreno 710,Snapdragon 6 Gen 3,195 gr,-," 15.000,00 TL ",15000,8.0,128,195.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a36-128-gb.jpg,Samsung
