index,desc,NR - Display,NR - Performance,NR - Battery,NR - Camera,RAM_Kapasitesi_int,Hafiza_Kapasitesi_GB,Agirlik_int,Fiyat_int
0,Samsung Galaxy S25 Ultra 512 GB,95,99,97,90,12,512,218,73399
1,Samsung Galaxy S25 Ultra 256 GB,95,99,97,90,12,256,218,71624
2,Samsung Galaxy S25 256 GB,90,96,74,83,12,256,162,46639
3,Samsung Galaxy S24 Ultra 1 TB,92,84,86,88,12,1024,233,75366
4,Samsung Galaxy S24 Ultra 512 GB,92,84,86,88,12,512,233,63764
5,Samsung Galaxy S24 FE 256 GB,88,79,73,80,8,256,213,26249
6,Samsung Galaxy S24 FE 128 GB,88,79,73,80,8,128,213,24744
7,Samsung Galaxy S23 Ultra 512 GB 12 GB,89,75,85,85,12,512,233,47999
8,Samsung Galaxy S23 Plus 256 GB,83,70,86,80,8,256,196,36750
9,Samsung Galaxy S23 FE 128 GB,83,60,65,76,8,128,209,22473
10,Samsung Galaxy S23 256 GB,85,69,68,80,8,256,167,36531
11,Samsung Galaxy Z Fold 6 512 GB,87,84,64,80,12,512,239,71249
12,Samsung Galaxy Z Flip 6 256 GB,89,82,59,76,12,256,187,44599
13,Samsung Galaxy Z Fold 5 256 GB,83,75,72,77,12,256,253,52390
14,Samsung Galaxy Z Flip 5 256 GB,85,76,54,73,8,256,187,35929
15,Samsung Galaxy A56 256 GB,90,57,81,71,8,256,198,21179
16,Samsung Galaxy A56 128 GB,90,57,81,71,8,128,198,19691
17,Samsung Galaxy A55 256 GB,85,51,84,63,8,256,213,18498
18,Samsung Galaxy A55 128 GB,85,51,84,63,8,128,213,16186
19,Samsung Galaxy A54 256 GB,82,43,74,61,8,256,202,17729
20,Samsung Galaxy A54 128 GB,82,43,74,61,8,128,202,16200
21,Samsung Galaxy A36 256 GB,90,44,81,69,8,256,195,17239
22,Samsung Galaxy A36 128 GB,90,44,81,69,8,128,195,15000
23,Samsung Galaxy A35 256 GB,84,43,71,59,8,256,209,14899
24,Samsung Galaxy A35 128 GB,84,43,71,59,8,128,209,14156
25,Samsung Galaxy A34 256 GB,78,40,80,49,8,256,199,17550
26,Samsung Galaxy A26 256 GB 8 GB,81,41,60,55,8,256,200,14689
27,Samsung Galaxy A25 128 GB 6 GB Siyah,82,36,61,53,6,128,197,11399
28,Samsung Galaxy A24 128 GB,70,32,83,35,6,128,195,11327
29,Samsung Galaxy A15 128 GB 4 GB,71,30,72,32,4,128,200,8336
30,Samsung Galaxy A14 128 GB,54,18,61,33,4,128,201,9385
31,Samsung Galaxy A06 128 GB,49,21,73,38,4,128,189,6326
32,Samsung Galaxy A05 128 GB,47,21,67,33,4,128,195,7362
33,Samsung Galaxy A05s 128 GB,63,22,71,45,4,128,194,8000
34,Samsung Galaxy M34 128 GB,78,36,85,40,6,128,208,14099
35,Samsung Galaxy M15 128 GB,72,31,80,35,4,128,217,10989
36,Samsung Galaxy M12 64 GB,47,20,67,31,4,64,214,7772
37,iPhone 16 Pro Max 1 TB,92,92,95,97,8,1024,227,119000
38,iPhone 16 Pro Max 512 GB,92,92,95,97,8,512,227,95999
39,iPhone 16 Pro Max 256 GB,92,92,95,97,8,256,227,88599
40,iPhone 16 Pro 128 GB,92,93,84,97,8,128,199,75999
41,iPhone 16 Plus 512 GB,77,90,95,89,8,512,199,82699
42,iPhone 16 Plus 256 GB,77,90,95,89,8,256,199,74349
43,iPhone 16 Plus 128 GB,77,90,95,89,8,128,199,69799
44,iPhone 16e 256 GB,71,88,73,74,8,256,167,50099
45,iPhone 16e 128 GB,71,88,73,74,8,128,167,42929
46,iPhone 15 Pro Max 1 TB,89,88,93,95,0,1024,221,99949
47,iPhone 15 Pro Max 512 GB,89,88,93,95,8,512,221,93899
48,iPhone 15 Pro Max 256 GB,89,88,93,95,8,256,221,92000
49,iPhone 15 Pro 128 GB,89,88,72,94,8,128,187,85439
50,iPhone 15 Plus 512 GB,74,80,89,88,6,512,201,70499
51,iPhone 15 Plus 256 GB,74,80,89,88,6,256,201,63999
52,iPhone 15 Plus 128 GB,74,80,89,88,6,128,201,58839
53,iPhone 15 128 GB,73,81,74,88,6,128,171,51149
54,Xiaomi 15 512 GB,93,96,100,90,12,512,191,49766
55,Xiaomi 15 256 GB,93,96,100,90,12,256,191,49249
56,Xiaomi 15 UItra 512 GB,97,97,97,95,16,512,226,78998
57,Xiaomi 14T Pro 512 GB,92,85,78,83,12,512,209,30540
58,Xiaomi 14 Ultra 512 GB,94,85,76,92,16,512,225,73422
59,Xiaomi 13 Ultra 256 GB 12 GB,91,76,80,84,12,256,227,44857
60,Xiaomi 13T Pro 512 GB,87,73,75,78,12,512,206,24885
61,Xiaomi 13 Lite 256 GB,81,41,68,54,8,256,171,20199
62,Xiaomi MIX Flip 512 GB,88,81,79,86,12,512,192,47450
63,Xiaomi Redmi Note 14 Pro Plus 512 GB,92,49,79,80,8,512,210,23930
64,Xiaomi Redmi Note 14 256 GB,88,39,70,63,8,256,196,11674
65,Xiaomi Redmi Note 13 Pro Plus 5G 512 GB,88,50,69,66,12,512,204,16000
66,Xiaomi Redmi Note 13 Pro 256 GB 8 GB,88,46,72,64,8,256,188,10600
67,Xiaomi Redmi 13C 256 GB 8 GB,56,22,76,34,8,256,192,8125
68,Xiaomi Redmi 14C 256 GB 8 GB,64,22,78,42,8,256,207,7799
69,Xiaomi Redmi Note 12 Pro 5G 256 GB,81,34,62,52,8,256,187,10949
70,Xiaomi Redmi Note 12R 128 GB,66,35,70,36,8,128,199,8499
71,Xiaomi Redmi Note 12 128 GB 8 GB,76,27,73,44,8,128,183,7499
72,Xiaomi Redmi A2 Plus 64 GB 4 GB,45,18,59,31,4,64,192,5148
73,Realme GT 7 Pro 512 GB,92,99,100,80,12,512,222,55000
74,Realme GT 6 512 GB 16 GB,91,74,87,75,16,512,199,36826
75,Realme GT 6T 256 GB,89,71,89,56,12,256,191,27599
76,Realme 12 Pro Plus 512 GB 12 GB,81,46,85,68,12,512,196,26999
77,Realme 12 Pro Plus 256 GB 8 GB,81,46,85,68,8,256,196,18899
78,Realme 12 Plus 256 GB,86,43,74,66,8,256,190,14799
79,Realme 12 512 GB,78,32,76,36,8,512,187,13579
80,Realme 11 Pro Plus 512 GB,80,43,76,51,12,512,203,20363
81,Realme 11 Pro 256 GB,79,41,76,44,8,256,191,15543
82,Realme 11 128 GB,69,34,71,36,8,128,203,9908
83,Realme C75 512 GB,71,22,79,54,8,512,196,15199
84,Realme C75 256 GB,71,22,79,54,8,256,196,10752
85,Realme C65 128 GB 8 GB,59,23,71,43,8,128,185,7199
86,Realme C53 256 GB 8 GB,65,23,64,37,8,256,182,6809
87,Realme C55 256 GB,56,20,66,38,8,256,189,9378
88,Realme C51 128 GB,64,23,69,46,4,128,186,7000
89,Realme Note 60 128 GB 4 GB,61,23,59,41,4,128,187,6080
90,Realme Note 50 128 GB,58,20,58,32,4,128,186,6721
91,Tecno Camon 30 Pro 512 GB Gri,84,56,85,56,12,512,188,21300
92,Tecno Camon 30S Pro 256 GB,87,33,66,53,8,256,203,14961
93,Tecno Camon 30 256 GB 12 GB,84,32,72,47,12,256,203,12899
94,Tecno Camon 30 5G 512 GB,84,32,72,47,12,512,203,18216
95,Tecno Camon 20 Premier 512 GB,75,48,66,52,8,512,203,15299
96,Tecno Pova 6 Pro 256 GB,84,36,95,48,12,256,195,20496
